SMILES,Y
COC(=O)CCCCC(=O)OCCC,1
COC(=O)COCC(=O)OC(C),0
CC(C(=O)OCCO),0
COC(=O)CCCCC(=O)OCCCCC,1
COC(=O)OC(COCCCC),1
C(COCCOCCOCCOCCOCCOC)OC,1
C(C1=CC=C(COCCOCCOCCOCCOCCOC)C=C1)C,1
C(=O)N(CCOC)C,0
C[Si](C)(CCC1COC(=O)O1)CC,1
COC(=O)COCC(=O)OC(COCC=C),0
C(COCCCSCCOCCOC)OC,1
C(COCC=C)OC,1
C1C(N(C(=O)C)C(=O)N1(C(=O)C)),0
C(OCCOCCOCCOCCOCCOC)C,1
C(C(=O)OCCOCCOC),0
COC,1
C(COCCCSCCCC(=O)NCCN1C=NC=C1)OC,0
C(C(=O)OCCOCCOCCOC),1
C(C1=CC=C(NC(=O)CC2=C(OC)C=CC=C2(OC))C=C1)C,1
CN(CCC#N)C,0
CC(C#N),0
COC(=O)CCCCC(=O)OC,1
CC(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC)(C),1
C(C(=O)OCCOCCOCCOCCOCCOCCOC),1
COC(=O)OC,0
CNC,0
CC(C)(C(=O)OC),0
C(OCCOCCOCCOCCOC)C,1
C1(=C(C)C(C)=CC(C)=C1(C))COCP(=S)(CC1=CC=CC=C1)COC,1
C(=O)N(CCOCCOC)C,0
COC(=O)CCCC(=O)OC(C),0
[Si](C)(CCSCCCCCCCN1C=NC=C1)O,0
[Si](C)(CCSCCCC(=O)NCCN1C=NC=C1)O,0
COC(=O)CC(=O)OC,0
C(=O)N(CCOCCOCCOC)C,0
C[Si](CCC1COC(=O)O1)(CCC2COC(=O)O2)CC,1
COC(=O)CCCC,1
P(OCCOCCOC)(OCCOCCOC)=N,1
COC(=O)CCCCCCCCC(=O)OC,0
CC(C)C#N,0
COC(=O)CCCC(=O)OC(COCC=C),1
C1C(OC(=O)O1)C2C(OC(=O)O2),0
C(COCCCSCCOCCOCCOC)OC,1
CN(C)C,1
C(OCCOCCOCCOC)C,1
COC(=O)CCC(=O)OC,0
CC(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)(C),1
COCCOCCOCCOCCOCCOCCOCCOCCOCOC,1
CC(CCSCCCC(=O)NCCN1C=NC=C1),0
C(C(=O)OCCOCCOCCOCCOCCOC),1
CC(C(=O)OCCCC),0
CC(C)(C(=O)OCCO),0
